"file_name","degree","modularity_class","modularity_measure"
"nilearn/glass_brain_scripts/plot_align_svg.py","10","0","0.44278918112505167"
"doc/sphinxext/sphinxgallery/__init__.py","13","1","0.44278918112505167"
"nilearn/decoding/tests/test_sklearn_basic_backports.py","46","2","0.44278918112505167"
"nisl/decomposition/__init__.py","104","3","0.44278918112505167"
"nilearn/decoding/sparse_models/tv.py","67","2","0.44278918112505167"
"nilearn/datasets/__init__.py","228","4","0.44278918112505167"
"examples/decoding/plot_haxby_stimuli.py","166","5","0.44278918112505167"
"examples/manipulating_visualizing/plot_nifti_simple.py","109","5","0.44278918112505167"
"nisl/_utils/class_helper.py","2","3","0.44278918112505167"
"nisl/tests/test_region.py","117","3","0.44278918112505167"
"nilearn/input_data/tests/test_nifti_spheres_masker.py","32","4","0.44278918112505167"
"nilearn/plotting/glass_brain_scripts/__init__.py","15","0","0.44278918112505167"
"nisl/decoding/tests/__init__.py","104","3","0.44278918112505167"
"nisl/tests/test_ndimage.py","109","3","0.44278918112505167"
"nilearn/decoding/sparse_models/operators.py","66","2","0.44278918112505167"
"starplus_decoding_example.py","19","6","0.44278918112505167"
"nilearn/input_data/nifti_masker.py","263","4","0.44278918112505167"
"nilearn/plotting/test/test_slicers.py","43","0","0.44278918112505167"
"nisl/io/tests/test_nifti_masker.py","114","3","0.44278918112505167"
"nilearn/mass_univariate/permuted_least_squares.py","144","4","0.44278918112505167"
"nilearn/io/base_masker.py","113","3","0.44278918112505167"
"nilearn/_utils/fixes/sklearn_validation.py","103","4","0.44278918112505167"
"examples/plot_haxby_full_analysis.py","77","7","0.44278918112505167"
"examples/connectivity/plot_extract_regions_statistical_maps.py","32","8","0.44278918112505167"
"searchlight/searchlight.py","5","3","0.44278918112505167"
"nilearn/glass_brain_scripts/align_svg.py","6","0","0.44278918112505167"
"examples/connectivity/plot_inverse_covariance_connectome.py","182","5","0.44278918112505167"
"nilearn/connectivity/embedding.py","7","9","0.44278918112505167"
"nisl/io/nifti_loader.py","8","3","0.44278918112505167"
"nilearn/externals/skimage/random_walker_segmentation.py","25","8","0.44278918112505167"
"nisl/tests/test_searchlight.py","28","3","0.44278918112505167"
"examples/03_connectivity/plot_extract_regions_canica_maps.py","92","5","0.44278918112505167"
"nisl/signal.py","106","3","0.44278918112505167"
"nilearn/sparse_models/tests/test_tv.py","47","2","0.44278918112505167"
"simulated_example.py","26","6","0.44278918112505167"
"examples/03_connectivity/plot_seed_based_connectome.py","115","4","0.44278918112505167"
"nilearn/decomposition/canica.py","271","4","0.44278918112505167"
"doc/sphinxext/sphinx_gallery/downloads.py","92","1","0.44278918112505167"
"doc/sphinxext/numpy_ext_old/docscrape_sphinx.py","26","6","0.44278918112505167"
"nilearn/decoding/sparse_models/tests/test_cv.py","66","2","0.44278918112505167"
"nilearn/region_decomposition/region_extractor.py","16","8","0.44278918112505167"
"plot_localizer_simple_analysis.py","69","7","0.44278918112505167"
"examples/manipulating_visualizing/plot_demo_glass_brain.py","201","5","0.44278918112505167"
"plot_haxby_space_net.py","16","2","0.44278918112505167"
"nilearn/honorio_samaras.py","3","4","0.44278918112505167"
"doc/sphinxext/sphinxgallery/docs_resolv.py","13","1","0.44278918112505167"
"nilearn/externals/__init__.py","23","8","0.44278918112505167"
"nilearn/_utils/compat.py","187","4","0.44278918112505167"
"plot_haxby_mass_univariate.py","72","7","0.44278918112505167"
"tests/test_hierarchical_clustering.py","22","6","0.44278918112505167"
"nilearn/surface.py","15","0","0.44278918112505167"
"examples/03_connectivity/plot_simulated_connectome.py","95","5","0.44278918112505167"
"nisl/tests/test_class_inspect.py","109","3","0.44278918112505167"
"nilearn/image/__init__.py","233","4","0.44278918112505167"
"nilearn/decoding/tests/test_tv.py","159","2","0.44278918112505167"
"nisl/_utils/tests/test_ndimage.py","38","3","0.44278918112505167"
"examples/plotting/plot_visualization.py","39","5","0.44278918112505167"
"examples/plotting/plot_demo_more_plotting.py","39","5","0.44278918112505167"
"examples/plot_localizer_simple_analysis.py","235","5","0.44278918112505167"
"doc/sphinxext/numpydoc/numpydoc.py","14","6","0.44278918112505167"
"plot_regions_covariance_advanced.py","31","3","0.44278918112505167"
"nilearn/decoding/tests/test_objective_functions.py","160","2","0.44278918112505167"
"nilearn/input_data/tests/test_nifti_region.py","59","4","0.44278918112505167"
"nilearn/decomposition/tests/test_base.py","125","4","0.44278918112505167"
"examples/01_plotting/plot_demo_more_plotting.py","184","5","0.44278918112505167"
"plot_haxby_spacenet.py","6","2","0.44278918112505167"
"nilearn/_utils/tests/test_validation.py","6","2","0.44278918112505167"
"examples/connectivity/plot_signal_extraction.py","120","5","0.44278918112505167"
"nilearn/datasets/func.py","232","4","0.44278918112505167"
"nilearn/sparse_models/image.py","47","2","0.44278918112505167"
"nisl/decomposition/old_canica.py","5","3","0.44278918112505167"
"examples/03_connectivity/plot_multi_subject_connectome.py","188","5","0.44278918112505167"
"nisl/hierarchical_clustering.py","26","6","0.44278918112505167"
"nisl/tests/test_niimg_conversions.py","109","3","0.44278918112505167"
"nisl/decoding_example.py","28","6","0.44278918112505167"
"nilearn/connectivity/matrix_operations.py","8","9","0.44278918112505167"
"doc/sphinxext/numpydoc/compiler_unparse.py","14","6","0.44278918112505167"
"examples/connectivity/plot_adhd_spheres.py","182","5","0.44278918112505167"
"examples/plotting/plot_prob_atlas.py","39","5","0.44278918112505167"
"nilearn/decoding/fista.py","161","2","0.44278918112505167"
"examples/plot_haxby_stimuli.py","77","7","0.44278918112505167"
"examples/decoding/plot_haxby_different_estimators.py","223","5","0.44278918112505167"
"plot_haxby_searchlight.py","195","3","0.44278918112505167"
"nilearn/connectome/tests/test_group_sparse_cov.py","61","4","0.44278918112505167"
"nilearn/decoding/sparse_models/image.py","45","2","0.44278918112505167"
"plot_oasis_vbm.py","86","7","0.44278918112505167"
"nisl/tests/test_roi.py","5","3","0.44278918112505167"
"nisl/searchlight.py","45","3","0.44278918112505167"
"examples/manipulating_images/plot_extract_rois_smith_atlas.py","39","5","0.44278918112505167"
"nilearn/masking.py","314","4","0.44278918112505167"
"examples/decoding/plot_haxby_multiclass.py","224","5","0.44278918112505167"
"examples/connectivity/plot_adhd_tangent.py","7","9","0.44278918112505167"
"examples/connectivity/plot_extract_regions_canica_maps.py","139","8","0.44278918112505167"
"nilearn/plotting/test/test_cm.py","29","0","0.44278918112505167"
"nilearn/_utils/exceptions.py","209","4","0.44278918112505167"
"nilearn/datasets/tests/test_atlas.py","221","4","0.44278918112505167"
"nilearn/group_sparse_covariance.py","101","4","0.44278918112505167"
"examples/04_manipulating_images/plot_extract_regions_labels_image.py","41","4","0.44278918112505167"
"plot_kamitani_reconstruction.py","1","7","0.44278918112505167"
"nilearn/tests/test_resampling.py","113","3","0.44278918112505167"
"nilearn/plotting/tests/test_slicers.py","22","0","0.44278918112505167"
"nilearn/decoding/tests/simulate_graph_net_data.py","127","2","0.44278918112505167"
"nilearn/plotting/tests/test_matrix_plotting.py","13","5","0.44278918112505167"
"examples/03_connectivity/plot_sphere_based_connectome.py","37","5","0.44278918112505167"
"examples/connectivity/plot_extract_regions_dictlearn_maps.py","4","5","0.44278918112505167"
"examples/manipulating_visualizing/plot_demo_plotting.py","208","5","0.44278918112505167"
"nilearn/_utils/segmentation.py","28","8","0.44278918112505167"
