,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,issue_title,224,aio-libs,aioredis,pfreixes,2017-05-12 14:11:34,"Before this commit the coverage was missleading, gathering the code
of the test aside of the aioredis package.",start issue,Narrow the coverage to the aioredis package
1,issue_closed,224,aio-libs,aioredis,popravich,2017-05-15 13:05:25,,closed issue,Narrow the coverage to the aioredis package
2,pull_request_title,224,aio-libs,aioredis,pfreixes,2017-05-12 14:11:34,"Before this commit the coverage was missleading, gathering the code
of the test aside of the aioredis package.",4549bb8f88dfd496e596f6310d37ebba9bbeff8b,Narrow the coverage to the aioredis package
3,issue_comment,224,aio-libs,aioredis,kxepal,2017-05-12 14:14:34,"I think coverage of the test suite is very important metric as well. If you have tests, functions, or branches which were not executed, then this is indeed a bloat code or, probably, a mistake which hides some real problem in design or code. Don't you think so?",,
4,issue_comment,224,aio-libs,aioredis,pfreixes,2017-05-12 14:17:42,"No sure how important are the metrics related to the test suite, but in any case, you can not mix both metrics otherwise you can get a invalid impression of the coverage, either the package or the test suite.",,
5,issue_comment,224,aio-libs,aioredis,pfreixes,2017-05-14 06:26:31,"As an example take a look at the `aiohttp` coverage [1], they only cover the package.  There are other examples [2] [3]

I've found a counterexample by `aiopg` [4], looks like @asvetlov committed the change to get coverage from the main package and the tests. Maybe he wants to give his thoughts about if either the coverage has to include the tests code or not.

[1] https://codecov.io/gh/aio-libs/aiohttp
[2] https://github.com/pallets/flask/blob/master/tox.ini#L14
[3] https://github.com/channelcat/sanic/blob/master/.coveragerc
[4] https://github.com/aio-libs/aiopg/blob/master/.coveragerc",,
6,issue_comment,224,aio-libs,aioredis,jettify,2017-05-14 07:27:54,"Agree with @kxepal , coverage number is not important metric for tests by itself, important part is to see what tests have never been executed and that may hide important problems in the code.",,
7,issue_comment,224,aio-libs,aioredis,popravich,2017-05-15 12:28:27,"First of all this changes do not affect coverage collected by codecov and shown in the badge, because included pathes are configured in `setup.cfg`.
Detailed coverage is also available at [codecov.io](https://codecov.io/gh/aio-libs/aioredis) (with split by package itself and tests).
I personally against disabling tests coverage as it helps to see if tests are run as expected,
especially when you have many conditions determining test execution flow.
It helps much more than affects coverage percentage.",,
8,issue_comment,224,aio-libs,aioredis,pfreixes,2017-05-15 13:00:45,"Nothing to say if the coverage percentage btw tests and the main project can be viewed separately.

I can understand your thoughts about having the tests inside of the coverage, but the benefits of having them are out of the scope of the goal of the code coverage that must inform to ... _measure used to describe the degree to which the source code of a program is tested by a particular test suite_ [1], and it should reflect a metric that has to be primarily useful for the user.

If there are no more comments this PR can be closed.

[1] https://en.wikipedia.org/wiki/Code_coverage",,
9,pull_request_commit,224,aio-libs,aioredis,pfreixes,2017-05-12 14:08:47,"Narrow the coverage to the aioredis package

Before this commit the coverage was missleading, gathering the code
of the test aside of the aioredis package.",4549bb8f88dfd496e596f6310d37ebba9bbeff8b,
0,issue_title,217,aio-libs,aioredis,pyup-bot,2017-05-04 18:49:09,"
There's a new version of [async-timeout](https://pypi.python.org/pypi/async-timeout) available.
You are currently using **1.2.0**. I have updated it to **1.2.1**



These links might come in handy:  <a href=""https://pypi.python.org/pypi/async-timeout"">PyPI</a> | <a href=""https://pyup.io/changelogs/async-timeout/"">Changelog</a> | <a href=""https://github.com/aio-libs/async_timeout/"">Repo</a> 



### Changelog
> 
>### 1.2.1

>------------------

>* Support unpublished event loop&#39;s &quot;current_task&quot; api.








*Got merge conflicts? Close this PR and delete the branch. I'll create a new PR for you.*

Happy merging! 🤖
",start issue,Update async-timeout to 1.2.1
1,issue_closed,217,aio-libs,aioredis,popravich,2017-05-15 11:00:33,,closed issue,Update async-timeout to 1.2.1
2,pull_request_title,217,aio-libs,aioredis,pyup-bot,2017-05-04 18:49:09,"
There's a new version of [async-timeout](https://pypi.python.org/pypi/async-timeout) available.
You are currently using **1.2.0**. I have updated it to **1.2.1**



These links might come in handy:  <a href=""https://pypi.python.org/pypi/async-timeout"">PyPI</a> | <a href=""https://pyup.io/changelogs/async-timeout/"">Changelog</a> | <a href=""https://github.com/aio-libs/async_timeout/"">Repo</a> 



### Changelog
> 
>### 1.2.1

>------------------

>* Support unpublished event loop&#39;s &quot;current_task&quot; api.








*Got merge conflicts? Close this PR and delete the branch. I'll create a new PR for you.*

Happy merging! 🤖
",6bc0aa0a28e7e6980c70b5f0a52b90da8a07f71f,Update async-timeout to 1.2.1
3,pull_request_merged,217,aio-libs,aioredis,popravich,2017-05-15 11:00:33,Update async-timeout to 1.2.1,dab7318a1df2eb23d77c02273d5c2635a4c3860a,Pull request merge from aio-libs/aioredis:pyup-update-async-timeout-1.2.0-to-1.2.1 to aio-libs/aioredis:master
