,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1428,nilearn,nilearn,SylvainLan,2017-04-05 07:44:21,#721 ,start issue,[MRG] checks that the threshold is not higher than number of maps for canICA 
2,issue_closed,1428,nilearn,nilearn,GaelVaroquaux,2017-05-23 10:06:22,,closed issue,[MRG] checks that the threshold is not higher than number of maps for canICA 
3,pull_request_title,1428,nilearn,nilearn,SylvainLan,2017-04-05 07:44:21,#721 ,27243ee461a3345091c3828681488c4d303a276e,[MRG] checks that the threshold is not higher than number of maps for canICA 
4,pull_request_merged,1428,nilearn,nilearn,GaelVaroquaux,2017-05-23 10:06:22,[MRG] checks that the threshold is not higher than number of maps for canICA ,d7f7b37f3a11d01497eb148362c76a00bfcd5304,Pull request merge from SylvainLan/nilearn:fix_canICA to nilearn/nilearn:master
5,issue_comment,1428,nilearn,nilearn,GaelVaroquaux,2017-05-23 10:06:17,LGTM. Merging,,
6,issue_comment,1428,nilearn,nilearn,KamalakerDadi,2017-04-05 08:42:58,"Also, you forgot to add bounds in the ```threshold``` parameter documentation. From the issue, if I get correctly threshold should be between [0. and n_components]",,
7,issue_comment,1428,nilearn,nilearn,KamalakerDadi,2017-04-05 08:44:18,You should also add tests to check whether error is raised or not. Tests should be added in nilearn/decomposition/tests/test_canica.py,,
8,issue_comment,1428,nilearn,nilearn,KamalakerDadi,2017-04-05 09:07:08,">Also, you forgot to add bounds in the threshold parameter documentation. From the issue, if I get correctly 
threshold should be between [0. and n_components]

May be it would be good idea to put threshold bound [0. and n_components] near the description of float value. Right after non-zero voxels). ....... ",,
9,issue_comment,1428,nilearn,nilearn,KamalakerDadi,2017-04-05 13:13:56,">You should also add tests to check whether error is raised or not. Tests should be added in nilearn/decomposition/tests/test_canica.py

Could you add tests please ?",,
