,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1316,nilearn,nilearn,Joaoloula,2016-10-25 13:15:54,"Updates `fetch_haxby` documentation to include the case when `subjects` parameter is an int and corrects `fetch_abide_pcp` for the new download link.
",start issue,[MRG] Fixes #1313 and #1314
2,issue_closed,1316,nilearn,nilearn,AlexandreAbraham,2016-10-31 16:04:15,,closed issue,[MRG] Fixes #1313 and #1314
3,pull_request_title,1316,nilearn,nilearn,Joaoloula,2016-10-25 13:15:54,"Updates `fetch_haxby` documentation to include the case when `subjects` parameter is an int and corrects `fetch_abide_pcp` for the new download link.
",32f41f8a0eb34ce2e1a66a6cb98c95c579891e15,[MRG] Fixes #1313 and #1314
4,pull_request_merged,1316,nilearn,nilearn,AlexandreAbraham,2016-10-31 16:04:15,[MRG] Fixes #1313 and #1314,dd9353274cf4814c5625b32eb8f90ee6853f3689,Pull request merge from Joaoloula/nilearn:issue_1313_1314 to nilearn/nilearn:master
5,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-26 08:30:09,"Small question: are we sure that there is no difference between fcp-indi and fcp-indi-new?
",,
6,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-26 08:53:00,"> I think we should go with ""fcp-indi-new"" since the main project has the same name.

I know that it is the new URL but what is the difference with the previous one? Maybe the used an update version of CPAC for the preproc? I just would like to be sure that we are still fetching the same data.
",,
7,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-26 11:21:13,"I think that taking the md5 hash of a bucnh of random files should be enough. Or maybe @Joaoloula can grab Cameron at brainhack and ask him ? :P
",,
8,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-31 13:49:59,"So, let's go merging this one when all is green.
",,
9,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-31 16:04:11,"Merging as it makes doc better (independently of the subjects / n_subjects debate).
",,
10,issue_comment,1316,nilearn,nilearn,Joaoloula,2016-10-26 12:08:55,"Cameron's not here :/ In the middle of testing, I actually overwrote the dataset coming from the old download link, so I can't compare the checksums, can someone who still has the 'old' data take care of that?
",,
11,issue_comment,1316,nilearn,nilearn,Joaoloula,2016-10-31 13:46:54,"So @AlexandreAbraham got in touch with the Child Mind Institute people and, long story short, the fcp-indi-new does have exactly the same data as fcp-indi, but it was just a temporary switch they made. The old link is now up and running again, and so I reverted this part of the PR.
",,
12,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-09-20 08:26:29,added jaccard index and jaccard distance functions to nilearn.connectome,eaa9684f12f18e2ec36e0aed1d6c07389123e8c0,
13,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-10-25 12:54:52,Merge branch 'master' of git://github.com/nilearn/nilearn into jaccard_index,7c11db74ce1908bd390c3571becce10fbc85cd34,
14,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-10-25 13:04:58,updated haxby fetcher documentation and abide fetcher link,9e6f6e24e54fe0df2b5c8bf97e59626dac8bd3ea,
15,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-10-25 13:14:39,updated haxby fetcher documentation and abide fetcher link,dce978d4ccf3be67807a849729a66959ea0b8974,
16,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-10-31 13:44:31,reverted fetch_abide_pcp to old link (works again),32f41f8a0eb34ce2e1a66a6cb98c95c579891e15,
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1310,nilearn,nilearn,AlexandreAbraham,2016-10-13 11:14:00,"https://github.com/nilearn/nilearn/blob/9ee1c8d3b5d26937629cc62ce04cf8d4eb18a028/nilearn/image/image.py#L631

This should be `cal_min`
`header['cal_max'] = np.min(data) if data.size > 0 else 0.`
",start issue,Wrong value for Nifti header
2,issue_closed,1310,nilearn,nilearn,AlexandreAbraham,2016-10-25 13:18:01,,closed issue,Wrong value for Nifti header
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1317,nilearn,nilearn,KamalakerDadi,2016-10-25 14:51:07,"This has rather surprising behaviour when using `add_contours` with `filled=True`. Example of one suprising behaviour can be seen from a plot in PR #1315. 

It appears that we need an argument called `threshold=1e-6` in `add_contours` for the same terminology in consistent with `add_overlay` to suppress out minimum background value given in `threshold`.   
",start issue,Inconsitency of having and not having argument `threshold` in add_overlay and add_contours
2,issue_closed,1317,nilearn,nilearn,KamalakerDadi,2016-11-03 13:30:17,,closed issue,Inconsitency of having and not having argument `threshold` in add_overlay and add_contours
3,issue_comment,1317,nilearn,nilearn,GaelVaroquaux,2016-10-26 15:51:25,"I am +1 on changing threshold in add_contours from None to 1e-6, as in
add_overlay.
",,
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1315,nilearn,nilearn,KamalakerDadi,2016-10-24 17:44:55,"Attempts to Fix #1251 
",start issue,[MRG] Fix: add_contours (filled=True) which will not require to specify color or alpha
2,issue_closed,1315,nilearn,nilearn,GaelVaroquaux,2016-11-03 13:25:37,,closed issue,[MRG] Fix: add_contours (filled=True) which will not require to specify color or alpha
3,pull_request_title,1315,nilearn,nilearn,KamalakerDadi,2016-10-24 17:44:55,"Attempts to Fix #1251 
",d8f824f114b0f628b39109d475aef9f3167163e5,[MRG] Fix: add_contours (filled=True) which will not require to specify color or alpha
4,pull_request_merged,1315,nilearn,nilearn,GaelVaroquaux,2016-11-03 13:25:37,[MRG] Fix: add_contours (filled=True) which will not require to specify color or alpha,211a5a95c0deb22c873fb0499c705167cd1c1e0b,Pull request merge from KamalakerDadi/nilearn:fix_filled_contours_consistency to nilearn/nilearn:master
5,issue_comment,1315,nilearn,nilearn,GaelVaroquaux,2016-10-25 13:01:32,"Looks good in general. I'd like the heuristic that I suggested to be implement when level is not specified:

<pre>
abs_data = np.abs(data)
data_90 = np.percentile(abs_data, 90)
data_50 = np.median(abs_data)
levels = [data_90, data_50, -data_50, -data_90]
</pre>
",,
6,issue_comment,1315,nilearn,nilearn,GaelVaroquaux,2016-11-03 06:25:00,"This is in general good to go for me. However, I'd that that on the notebook-like example we always have only one figure per cell.
",,
7,issue_comment,1315,nilearn,nilearn,GaelVaroquaux,2016-11-03 13:25:33,"LGTM. Merging. Thank you!
",,
8,issue_comment,1315,nilearn,nilearn,ccvanschie,2016-12-08 09:22:04,"Dear Kamalaker,

I am not feeling well today so I decided to go back home. Unfortunately, I will not get to see you again today. It was very nice to meet you. Thank you for your help! I wish you a great conference but an even greater holiday with your family.

Kind regards, Charlotte

",,
9,pull_request_commit_comment,1315,nilearn,nilearn,bthirion,2016-10-24 20:36:14,"Maybe add a test with only one value for `levels`
",d8f824f114b0f628b39109d475aef9f3167163e5,"(None, '', u'nilearn/plotting/tests/test_displays.py')"
10,pull_request_commit_comment,1315,nilearn,nilearn,bthirion,2016-10-24 20:36:37,"Seems a bit unrelated...
",d8f824f114b0f628b39109d475aef9f3167163e5,"(6, '', u'nilearn/datasets/func.py')"
11,pull_request_commit_comment,1315,nilearn,nilearn,bthirion,2016-10-24 20:37:28,"countour_ fillings
",d8f824f114b0f628b39109d475aef9f3167163e5,"(None, '', u'nilearn/plotting/displays.py')"
