,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1313,nilearn,nilearn,Joaoloula,2016-10-17 18:39:07,"The docstring says the `subjects` argument in `fetch_haxby` is a list containing the subjects to be fetched, but it actually also accepts an int as argument, in which case it behaves as the deprecated `n_subjects`. This is problematic because in this case an unaware user can pass an int n as the argument and run  `haxby_dataset.func[0]`, which will return data for subject 1 instead of subject n. It seems to me that we should either:
- Make this use case explicit in the docstring or;
- Throw an error when `subjects` is an int.
",start issue,Unexpected behavior from 'subject' argument on haxby fetcher
2,issue_closed,1313,nilearn,nilearn,AlexandreAbraham,2016-10-31 16:04:19,,closed issue,Unexpected behavior from 'subject' argument on haxby fetcher
3,issue_comment,1313,nilearn,nilearn,AlexandreAbraham,2016-10-19 09:00:35,"> my preference was two have two different arguments: `subjects` and `n_subjects` 

+1
",,
4,issue_comment,1313,nilearn,nilearn,AlexandreAbraham,2016-10-31 16:05:06,"@bthirion I merged the PR of Joao because it makes doc better. Do you want me to open an issue about the two different args?
",,
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1316,nilearn,nilearn,Joaoloula,2016-10-25 13:15:54,"Updates `fetch_haxby` documentation to include the case when `subjects` parameter is an int and corrects `fetch_abide_pcp` for the new download link.
",start issue,[MRG] Fixes #1313 and #1314
2,issue_closed,1316,nilearn,nilearn,AlexandreAbraham,2016-10-31 16:04:15,,closed issue,[MRG] Fixes #1313 and #1314
3,pull_request_title,1316,nilearn,nilearn,Joaoloula,2016-10-25 13:15:54,"Updates `fetch_haxby` documentation to include the case when `subjects` parameter is an int and corrects `fetch_abide_pcp` for the new download link.
",32f41f8a0eb34ce2e1a66a6cb98c95c579891e15,[MRG] Fixes #1313 and #1314
4,pull_request_merged,1316,nilearn,nilearn,AlexandreAbraham,2016-10-31 16:04:15,[MRG] Fixes #1313 and #1314,dd9353274cf4814c5625b32eb8f90ee6853f3689,Pull request merge from Joaoloula/nilearn:issue_1313_1314 to nilearn/nilearn:master
5,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-26 08:30:09,"Small question: are we sure that there is no difference between fcp-indi and fcp-indi-new?
",,
6,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-26 08:53:00,"> I think we should go with ""fcp-indi-new"" since the main project has the same name.

I know that it is the new URL but what is the difference with the previous one? Maybe the used an update version of CPAC for the preproc? I just would like to be sure that we are still fetching the same data.
",,
7,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-26 11:21:13,"I think that taking the md5 hash of a bucnh of random files should be enough. Or maybe @Joaoloula can grab Cameron at brainhack and ask him ? :P
",,
8,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-31 13:49:59,"So, let's go merging this one when all is green.
",,
9,issue_comment,1316,nilearn,nilearn,AlexandreAbraham,2016-10-31 16:04:11,"Merging as it makes doc better (independently of the subjects / n_subjects debate).
",,
10,issue_comment,1316,nilearn,nilearn,Joaoloula,2016-10-26 12:08:55,"Cameron's not here :/ In the middle of testing, I actually overwrote the dataset coming from the old download link, so I can't compare the checksums, can someone who still has the 'old' data take care of that?
",,
11,issue_comment,1316,nilearn,nilearn,Joaoloula,2016-10-31 13:46:54,"So @AlexandreAbraham got in touch with the Child Mind Institute people and, long story short, the fcp-indi-new does have exactly the same data as fcp-indi, but it was just a temporary switch they made. The old link is now up and running again, and so I reverted this part of the PR.
",,
12,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-09-20 08:26:29,added jaccard index and jaccard distance functions to nilearn.connectome,eaa9684f12f18e2ec36e0aed1d6c07389123e8c0,
13,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-10-25 12:54:52,Merge branch 'master' of git://github.com/nilearn/nilearn into jaccard_index,7c11db74ce1908bd390c3571becce10fbc85cd34,
14,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-10-25 13:04:58,updated haxby fetcher documentation and abide fetcher link,9e6f6e24e54fe0df2b5c8bf97e59626dac8bd3ea,
15,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-10-25 13:14:39,updated haxby fetcher documentation and abide fetcher link,dce978d4ccf3be67807a849729a66959ea0b8974,
16,pull_request_commit,1316,nilearn,nilearn,Joaoloula,2016-10-31 13:44:31,reverted fetch_abide_pcp to old link (works again),32f41f8a0eb34ce2e1a66a6cb98c95c579891e15,
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
