,rectype,issueid,project_owner,project_name,actor,time,text,action,title
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1355,nilearn,nilearn,GaelVaroquaux,2017-01-11 10:26:36,"It seems that memprofiler is now Pyhon2.6 incompatible. We should drop the Python 2.6 support.

* [ ] Grep the code for ""2.6"" and change everything to 2.7 or remove
* [ ] Related: in nilearn/version.py, we should now use an OrderedDict
* [ ] switch travis",start issue,Drop Python 2.6 compatibility
2,issue_closed,1355,nilearn,nilearn,AlexandreAbraham,2017-01-20 09:00:30,,closed issue,Drop Python 2.6 compatibility
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1360,nilearn,nilearn,GaelVaroquaux,2017-01-20 16:54:37,scipy 0.17.1 is what neurodebian has,start issue,[MRG] MAINT: adjust versions on CI
2,issue_closed,1360,nilearn,nilearn,GaelVaroquaux,2017-01-21 10:48:36,,closed issue,[MRG] MAINT: adjust versions on CI
3,pull_request_title,1360,nilearn,nilearn,GaelVaroquaux,2017-01-20 16:54:37,scipy 0.17.1 is what neurodebian has,6837c19faa5a11f6cc3a59c6d2575f1809863710,[MRG] MAINT: adjust versions on CI
4,pull_request_merged,1360,nilearn,nilearn,GaelVaroquaux,2017-01-21 10:48:36,[MRG] MAINT: adjust versions on CI,ffbded325bc5a7d2141aab325942b3b78eff4e2a,Pull request merge from GaelVaroquaux/nilearn:remove_py26 to nilearn/nilearn:master
5,pull_request_commit,1360,nilearn,nilearn,GaelVaroquaux,2017-01-20 00:13:18,MAINT: try to fix deps in CI,6837c19faa5a11f6cc3a59c6d2575f1809863710,
0,rectype,issueid,project_owner,project_name,actor,time,text,action,title
1,issue_title,1359,nilearn,nilearn,GaelVaroquaux,2017-01-20 00:12:42,Slightly more didactic docs,start issue,[MRG + 1] DOC
2,issue_closed,1359,nilearn,nilearn,GaelVaroquaux,2017-01-22 08:55:35,,closed issue,[MRG + 1] DOC
3,pull_request_title,1359,nilearn,nilearn,GaelVaroquaux,2017-01-20 00:12:42,Slightly more didactic docs,c8b4914f7ea1ba5e329841445a957ed90bd25651,[MRG + 1] DOC
4,pull_request_merged,1359,nilearn,nilearn,GaelVaroquaux,2017-01-22 08:55:35,[MRG + 1] DOC,c42699ac7bbd24525fa4787706bdad7d939e61de,Pull request merge from GaelVaroquaux/nilearn:rephrase_docs to nilearn/nilearn:master
5,pull_request_commit_comment,1359,nilearn,nilearn,bthirion,2017-01-20 09:05:17,response,c8b4914f7ea1ba5e329841445a957ed90bd25651,"(None, '', u'doc/decoding/decoding_intro.rst')"
6,pull_request_commit_comment,1359,nilearn,nilearn,bthirion,2017-01-20 09:08:00,'downloading and returning' or 'download and return',c8b4914f7ea1ba5e329841445a957ed90bd25651,"(None, '', u'doc/decoding/decoding_intro.rst')"
