"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1448","nilearn","nilearn","KamalakerDadi","2017-05-07 20:48:49","Attempts to Fix #1436 ","start issue","[MRG] Drop Scikit-learn < 0.15"
"issue_closed","1448","nilearn","nilearn","GaelVaroquaux","2017-05-24 09:47:08","","closed issue","[MRG] Drop Scikit-learn < 0.15"
"pull_request_title","1448","nilearn","nilearn","KamalakerDadi","2017-05-07 20:48:49","Attempts to Fix #1436 ","f2c4b25fe8b81f3b1f34c8f2ece3568bd6a7838a","[MRG] Drop Scikit-learn < 0.15"
"pull_request_merged","1448","nilearn","nilearn","GaelVaroquaux","2017-05-24 09:47:08","[MRG] Drop Scikit-learn < 0.15","6fe6245f75c0440e551b6402874146fffa4bed69","Pull request merge from KamalakerDadi/nilearn:drop_sklearn_014 to nilearn/nilearn:master"
"issue_comment","1448","nilearn","nilearn","GaelVaroquaux","2017-05-23 11:44:54","@KamalakerDadi : can you add the following in the .travis file:

""dist: trusty
""

before the ""sudo: redired""

as instructed by:
https://docs.travis-ci.com/user/trusty-ci-environment","",""
"issue_comment","1448","nilearn","nilearn","GaelVaroquaux","2017-05-24 09:47:03","LGTM. Thanks! Merging","",""
"issue_comment","1448","nilearn","nilearn","bthirion","2017-05-08 21:37:59","It seems not to work in one of the travis environments.","",""
"issue_comment","1448","nilearn","nilearn","KamalakerDadi","2017-05-19 09:05:54","@GaelVaroquaux Any hints how to fix the failure ?

Failure is with neurodebian build: https://travis-ci.org/nilearn/nilearn/jobs/229756912
When I changed minimum required dependency of sklearn to 0.15 in ```version.py```

How to check minimum version packaged for sklearn in Neurodebian for Ubuntu 12.04 ?
","",""
"issue_comment","1448","nilearn","nilearn","KamalakerDadi","2017-05-23 20:40:03","I am done with WIP. Could you review please @bthirion @GaelVaroquaux ?","",""
"issue_comment","1448","nilearn","nilearn","codecov[bot]","2017-05-23 12:21:23","# [Codecov](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=h1) Report
> Merging [#1448](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=desc) into [master](https://codecov.io/gh/nilearn/nilearn/commit/32b54f2c3d324740dfb1abb1413a649d39094b14?src=pr&el=desc) will **increase** coverage by `0.04%`.
> The diff coverage is `100%`.

[![Impacted file tree graph](https://codecov.io/gh/nilearn/nilearn/pull/1448/graphs/tree.svg?token=KpYArSdyXv&width=650&height=150&src=pr)](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=tree)

```diff
@@            Coverage Diff             @@
##           master    #1448      +/-   ##
==========================================
+ Coverage    94.6%   94.65%   +0.04%     
==========================================
  Files         120      120              
  Lines       14672    14659      -13     
==========================================
- Hits        13881    13876       -5     
+ Misses        791      783       -8
```


| [Impacted Files](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=tree) | Coverage Δ | |
|---|---|---|
| [nilearn/\_utils/cache\_mixin.py](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=tree#diff-bmlsZWFybi9fdXRpbHMvY2FjaGVfbWl4aW4ucHk=) | `89.42% <ø> (+0.74%)` | :arrow_up: |
| [nilearn/version.py](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=tree#diff-bmlsZWFybi92ZXJzaW9uLnB5) | `73.91% <ø> (ø)` | :arrow_up: |
| [nilearn/tests/test\_testing.py](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=tree#diff-bmlsZWFybi90ZXN0cy90ZXN0X3Rlc3RpbmcucHk=) | `100% <100%> (ø)` | :arrow_up: |
| [nilearn/tests/test\_cache\_mixin.py](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=tree#diff-bmlsZWFybi90ZXN0cy90ZXN0X2NhY2hlX21peGluLnB5) | `98.38% <100%> (+0.76%)` | :arrow_up: |
| [nilearn/\_utils/testing.py](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=tree#diff-bmlsZWFybi9fdXRpbHMvdGVzdGluZy5weQ==) | `84% <100%> (+1.73%)` | :arrow_up: |
| [...ilearn/input\_data/tests/test\_multi\_nifti\_masker.py](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=tree#diff-bmlsZWFybi9pbnB1dF9kYXRhL3Rlc3RzL3Rlc3RfbXVsdGlfbmlmdGlfbWFza2VyLnB5) | `100% <100%> (ø)` | :arrow_up: |

------

[Continue to review full report at Codecov](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=continue).
> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)
> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`
> Powered by [Codecov](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=footer). Last update [32b54f2...f2c4b25](https://codecov.io/gh/nilearn/nilearn/pull/1448?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).
","",""
