"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","1459","nilearn","nilearn","GaelVaroquaux","2017-05-29 09:31:25","A test implementation for tight bounds in contours.

Attempts to fix #1450","start issue","[MRG]: tight bounds in contours"
"issue_closed","1459","nilearn","nilearn","KamalakerDadi","2017-05-30 11:09:40","","closed issue","[MRG]: tight bounds in contours"
"pull_request_title","1459","nilearn","nilearn","GaelVaroquaux","2017-05-29 09:31:25","A test implementation for tight bounds in contours.

Attempts to fix #1450","1c7659d8b85fd2e61052b6ed3992746744392617","[MRG]: tight bounds in contours"
"pull_request_merged","1459","nilearn","nilearn","KamalakerDadi","2017-05-30 11:09:40","[MRG]: tight bounds in contours","70cae4052d1b9712797242ba936bc961b09b1a92","Pull request merge from GaelVaroquaux/nilearn:test_tight_contours to nilearn/nilearn:master"
"issue_comment","1459","nilearn","nilearn","GaelVaroquaux","2017-05-29 09:50:27","The latest commit is a bit heuristic.

These changes will need to be war-tested on a bunch of different usage situations.","",""
"issue_comment","1459","nilearn","nilearn","GaelVaroquaux","2017-05-29 20:08:04","I changed the strategy to something that should be more robust.

I believe that this is now ready for merge.

@fliem, do you mind testing this again, as I changed the strategy. It should work fine.","",""
"issue_comment","1459","nilearn","nilearn","GaelVaroquaux","2017-05-29 21:05:33","> Do you have any tests to add ?

I couldn't think of a way to add a test here.
","",""
"issue_comment","1459","nilearn","nilearn","GaelVaroquaux","2017-05-30 07:46:14","> Output still looks good.

Great. Once I get @KamalakerDadi's +1, we'll merge.
","",""
"issue_comment","1459","nilearn","nilearn","bthirion","2017-05-29 21:09:48","LGTM.","",""
"issue_comment","1459","nilearn","nilearn","fliem","2017-05-30 07:05:25","Output still looks good.","",""
"issue_comment","1459","nilearn","nilearn","KamalakerDadi","2017-05-29 12:53:03","I had a quick look at the plot_prob_atlas example. There is some problem with displaying contours.For instance, a msdl atlas in https://2495-1235740-gh.circle-artifacts.com/0/home/ubuntu/nilearn/doc/_build/html/auto_examples/01_plotting/plot_prob_atlas.html#sphx-glr-auto-examples-01-plotting-plot-prob-atlas-py

In plot_prob_atlas, we add an heuristic to get the threshold (levels) for displaying. May be we are double thresholding. I might also be wrong. I can have a closer look in more detail, later.","",""
"issue_comment","1459","nilearn","nilearn","KamalakerDadi","2017-05-29 21:04:31","Do you have any tests to add ?","",""
"issue_comment","1459","nilearn","nilearn","KamalakerDadi","2017-05-30 11:09:36","+1 from my side. Merging this one.","",""
"issue_comment","1459","nilearn","nilearn","codecov[bot]","2017-05-29 09:46:07","# [Codecov](https://codecov.io/gh/nilearn/nilearn/pull/1459?src=pr&el=h1) Report
> Merging [#1459](https://codecov.io/gh/nilearn/nilearn/pull/1459?src=pr&el=desc) into [master](https://codecov.io/gh/nilearn/nilearn/commit/6fe6245f75c0440e551b6402874146fffa4bed69?src=pr&el=desc) will **decrease** coverage by `<.01%`.
> The diff coverage is `50%`.

[![Impacted file tree graph](https://codecov.io/gh/nilearn/nilearn/pull/1459/graphs/tree.svg?token=KpYArSdyXv&width=650&height=150&src=pr)](https://codecov.io/gh/nilearn/nilearn/pull/1459?src=pr&el=tree)

```diff
@@            Coverage Diff             @@
##           master    #1459      +/-   ##
==========================================
- Coverage   94.65%   94.65%   -0.01%     
==========================================
  Files         120      120              
  Lines       14659    14661       +2     
==========================================
+ Hits        13876    13877       +1     
- Misses        783      784       +1
```


| [Impacted Files](https://codecov.io/gh/nilearn/nilearn/pull/1459?src=pr&el=tree) | Coverage Δ | |
|---|---|---|
| [nilearn/plotting/displays.py](https://codecov.io/gh/nilearn/nilearn/pull/1459?src=pr&el=tree#diff-bmlsZWFybi9wbG90dGluZy9kaXNwbGF5cy5weQ==) | `94.14% <50%> (-0.14%)` | :arrow_down: |

------

[Continue to review full report at Codecov](https://codecov.io/gh/nilearn/nilearn/pull/1459?src=pr&el=continue).
> **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta)
> `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`
> Powered by [Codecov](https://codecov.io/gh/nilearn/nilearn/pull/1459?src=pr&el=footer). Last update [6fe6245...76328a6](https://codecov.io/gh/nilearn/nilearn/pull/1459?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).
","",""
