"rectype","issueid","project_owner","project_name","actor","time","text","action","title","provenance","paths","plus_1","urls","issues","userref","code"
"commit_messages","","aio-libs","aioredis","popravich","2014-07-18 06:33:17","Merge pull request #29 from jettify/feature-script-commands

Feature script commands","011b0d587a345de3fba33b38f3bb1122b8e49562","","api.github.com,git_clone","[u'[""aioredis/commands/__init__.py"", ""tests/scripting_commands_test.py"", ""aioredis/commands/scripting.py""]']","False","[]","[{u'raw': u'#29', u'refstyle': u'#d', u'parts': [u'aio-libs', u'aioredis', u'29', u'']}]","[]","[]"
"commit_messages","","aio-libs","aioredis","popravich","2016-06-03 09:32:19","few small doc fixes","018eedaf1990183a405d79af152875d851b4021e","","api.github.com,git_clone","[u'[""docs/api_reference.rst""]']","False","[]","[]","[]","[]"
"commit_messages","","aio-libs","aioredis","popravich","2015-10-29 17:00:47","code samples in docs (getting started section) made runnable","01b35d19074bf8e591717e98755b137bfb0afdbf","","api.github.com,git_clone","[u'[""examples/python_3.5_pool.py"", ""examples/pubsub2.py"", ""examples/pipeline.py"", ""examples/python_3.5_iscan.py"", ""examples/transaction2.py"", "".travis.yml"", ""docs/start.rst"", ""docs/examples.rst""]']","False","[]","[]","[]","[]"
"commit_messages","","aio-libs","aioredis","popravich","2014-08-11 12:09:39","multi_exec tests updated","01e6f4b2fa141881a1017e12ab64bfc56159928b","","api.github.com,git_clone","[u'[""aioredis/commands/transaction.py"", ""tests/transaction_commands_test.py"", ""tests/_testutil.py""]']","False","[]","[]","[]","[]"
"commit_messages","","aio-libs","aioredis","popravich","2015-10-05 09:24:57","update .travis.yml: switch to travis containers","026da51e01bc0dbf9a60e818c27e414bd253d19e","","api.github.com,git_clone","[u'["".travis.yml""]']","False","[]","[]","[]","[]"
"commit_messages","","aio-libs","aioredis","popravich","2014-05-27 07:28:58","Merge pull request #7 from popravich/redis_on_streams

Redis on streams","027c8e92db33039b1f0eaabd0057d8c596dc19d5","","api.github.com,git_clone","[u'[""aioredis/_testutil.py"", ""tests/protocol_test.py"", ""Makefile"", ""runtests.py"", ""aioredis/connection.py"", ""tests/connection_test.py""]']","False","[]","[{u'raw': u'#7', u'refstyle': u'#d', u'parts': [u'aio-libs', u'aioredis', u'7', u'']}]","[]","[]"
"commit_messages","","aio-libs","aioredis","popravich","2017-05-03 19:12:41","update .travis.yml: fix uvloop install","036e22464664e1e084131b96ce5d35b19d4a1041","","api.github.com,git_clone","[u'(unknown)']","False","[]","[]","[]","[]"
"commit_messages","","aio-libs","aioredis","popravich","2016-03-28 08:45:15","ssl parameter of the RedisPool made keyword-only","04201f6c38afab5393eb17c20314c3f3cd010f6d","","api.github.com,git_clone","[u'[""aioredis/pool.py""]']","False","[]","[]","[]","[]"
"commit_messages","","aio-libs","aioredis","popravich","2016-05-30 09:31:03","tests for hstrlen added","04de8c079ca0dc244ea34c792e2fe34c1e96aa81","","api.github.com,git_clone","[u'[""tests/hash_commands_test.py""]']","False","[]","[]","[]","[]"
"commit_messages","","aio-libs","aioredis","alefteris","2016-09-24 15:05:37","Set default and validate section for info cmd","05090db9f92c558e353213ddfabeb81666ff7328","","api.github.com,git_clone","[u'[""aioredis/commands/server.py"", ""tests/server_commands_test.py""]']","False","[]","[]","[]","[]"
