,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
11,commit_messages,,idan,oauthlib,ondrowan,2013-02-14 22:36:07,Added my little self to AUTHORS,0215a772a8d725244a2cf09b49b237eb3fc418da,,"api.github.com,git_clone","[u'[""AUTHORS""]']",False,[],[],[],[],2013-02-14
209,commit_messages,,idan,oauthlib,ib-lundgren,2013-02-13 20:40:03,"Merge pull request #108 from ondrowan/patch-2

Fixed wrong function reference in OAuth server docs",2b862957a285b4c8e6f86c815ace4410afa2e88b,,"api.github.com,git_clone","[u'[""docs/server.rst""]']",False,[],"[{u'raw': u'#108', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'108', u'']}]",[],[],2013-02-13
221,commit_messages,,idan,oauthlib,ondrowan,2013-02-14 23:19:44,"Changes to testing stuff
* simplified tox config
* added python 3 to travis config",2f0871bcc53ba9875c415eddc3b7f1878d2e8806,,"api.github.com,git_clone","[u'["".travis.yml"", ""README.rst"", ""tox.ini""]']",False,[],[],[],[],2013-02-14
506,commit_messages,,idan,oauthlib,ib-lundgren,2013-02-14 22:44:50,"Merge pull request #112 from ondrowan/oauth1_server_callback_fix

Fixed verify_request_token_request in OAuth1 server",729d18188918d055a4fde34fca94fb1b2c10e518,,"api.github.com,git_clone","[u'[""oauthlib/oauth1/rfc5849/__init__.py"", ""tests/oauth1/rfc5849/test_server.py"", ""AUTHORS""]']",False,[],"[{u'raw': u'#112', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'112', u'']}]",[],[],2013-02-14
548,commit_messages,,idan,oauthlib,ondrowan,2013-02-13 16:43:59,Fixed wrong function reference in OAuth server docs,7c5b0ba793d7d524fe3b1a84f905ab4d317ccf09,,"api.github.com,git_clone","[u'[""docs/server.rst""]']",False,[],[],[],[],2013-02-13
727,commit_messages,,idan,oauthlib,ondrowan,2013-02-14 13:42:11,"Fixed verify_request_token_request in OAuth1 server.
* it now calls verify_request with require_callback=True
* added docstring about oob callback
* added test demonstrating use case",a81ca125536354a1007394c7525ec267392d9361,,"api.github.com,git_clone","[u'[""oauthlib/oauth1/rfc5849/__init__.py"", ""tests/oauth1/rfc5849/test_server.py""]']",False,[],[],[],[],2013-02-14
990,commit_messages,,idan,oauthlib,ondrowan,2013-02-14 14:20:34,Fixed misplaced coding string in docs,e3b93c2d71cca7926ebe93071ef91d03109ee07c,,"api.github.com,git_clone","[u'[""docs/server2.rst""]']",False,[],[],[],[],2013-02-14
1033,commit_messages,,idan,oauthlib,ib-lundgren,2013-02-14 21:16:22,"Merge pull request #113 from ondrowan/docs_header_fix

Removed misplaced -*- coding: utf8 -*- string",ed7f436d3e7c091b79c8fc903b69450d33ddba4a,,"api.github.com,git_clone","[u'[""docs/server2.rst"", ""requirements.txt""]']",False,[],"[{u'raw': u'#113', u'refstyle': u'#d', u'parts': [u'idan', u'oauthlib', u'113', u'']}]",[],[],2013-02-14
1034,commit_messages,,idan,oauthlib,ondrowan,2013-02-14 14:18:53,Added sphinx to requirements,eda02121dbf4c4b3affdf355523df7b596484dff,,"api.github.com,git_clone","[u'[""requirements.txt""]']",False,[],[],[],[],2013-02-14
1305,pull_request_commit,108.0,idan,oauthlib,ondrowan,2013-02-13 16:43:59,Fixed wrong function reference in OAuth server docs,7c5b0ba793d7d524fe3b1a84f905ab4d317ccf09,,api.github.com,,False,[],[],[],[],2013-02-13
1306,pull_request_commit,112.0,idan,oauthlib,ondrowan,2013-02-14 13:42:11,"Fixed verify_request_token_request in OAuth1 server.
* it now calls verify_request with require_callback=True
* added docstring about oob callback
* added test demonstrating use case",a81ca125536354a1007394c7525ec267392d9361,,api.github.com,,False,[],[],[],[],2013-02-14
1307,pull_request_commit,112.0,idan,oauthlib,ondrowan,2013-02-14 22:36:07,Added my little self to AUTHORS,0215a772a8d725244a2cf09b49b237eb3fc418da,,api.github.com,,False,[],[],[],[],2013-02-14
1308,pull_request_commit,113.0,idan,oauthlib,ondrowan,2013-02-14 14:18:53,Added sphinx to requirements,eda02121dbf4c4b3affdf355523df7b596484dff,,api.github.com,,False,[],[],[],[],2013-02-14
1309,pull_request_commit,113.0,idan,oauthlib,ondrowan,2013-02-14 14:20:34,Fixed misplaced coding string in docs,e3b93c2d71cca7926ebe93071ef91d03109ee07c,,api.github.com,,False,[],[],[],[],2013-02-14
1310,pull_request_commit,115.0,idan,oauthlib,ondrowan,2013-02-14 23:19:44,"Changes to testing stuff
* simplified tox config
* added python 3 to travis config",2f0871bcc53ba9875c415eddc3b7f1878d2e8806,,api.github.com,,False,[],[],[],[],2013-02-14
